39.929912	39.882211	39.938435	39.886031	39.985571	39.943831	40.000531	40.052585	39.992147	39.87625	39.866797	39.811932	39.907712	39.752205	39.737686	39.797194	39.89367	40.153293	40.225024	39.945016	40.140598	40.3028	40.397353	40.459422	40.296548	40.360313	40.501792	40.104008	39.709762	39.511557	39.611243	39.901078	39.952303	39.854147	39.954096	39.954347	
116.422849	116.406541	116.360664	116.369076	116.393902	116.46452	116.29612	116.179733	116.210675	116.400404	116.286163	116.162953	116.190012	116.144028	116.33985	116.493187	116.665363	116.639614	116.226511	116.095104	117.100525	116.640472	116.863096	115.984941	116.223679	116.001956	116.957016	117.114215	116.796341	116.31556	116.033349	116.403966	116.355686	116.356974	116.489582	116.466252	
165	160	162	161	155	167	161	155	139	162	165	157	153	167	151	158	154	102	157	60	13	117	89	57	76	59	99	144	159	153	154	166	160	165	175	168
166	154	163	158	132	160	162	na	139	160	165	155	153	164	151	154	164	87	157	75	13	104	68	30	104	42	99	127	na	152	137	161	165	162	167	na
159	na	157	na	142	154	162	151	134	164	158	157	154	166	137	169	157	89	157	72	163	59	13	30	61	17	38	127	na	122	137	164	161	168	155	na
95	na	142	114	109	91	na	159	89	na	na	160	157	165	na	na	na	42	na	74	65	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na
76	na	114	78	72	68	109	124	87	74	114	155	124	164	76	93	57	na	na	na	na	na	na	na	na	na	na	na	na	162	155	68	95	168	91	na
46	53	78	63	55	59	30	124	34	53	68	124	65	152	13	68	57	17	38	na	na	30	13	46	25	53	30	72	21	154	157	65	80	168	68	61
59	30	61	55	42	46	42	124	25	38	57	57	38	152	13	46	57	17	21	62	50	17	13	46	34	50	17	42	34	42	82	65	30	na	55	55
50	46	53	46	42	42	13	25	38	53	57	50	30	59	13	34	57	21	13	66	46	13	13	53	21	46	21	13	17	34	68	59	50	168	53	53
13	46	57	50	13	25	34	53	30	46	42	61	25	42	34	50	17	17	13	57	34	na	na	na	na	na	na	na	na	na	na	na	na	53	55	50
13	17	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	53	na	17	21	25	21	55	13	17	30	42	21	13	13	57	na	na
17	21	25	na	17	25	46	46	34	21	21	50	34	57	25	53	21	13	13	na	21	34	21	34	13	63	21	13	21	38	na	50	na	na	na	46
21	17	38	17	13	13	46	50	34	17	30	50	30	53	13	42	34	na	13	59	13	34	21	42	13	68	25	13	17	42	46	13	na	42	34	34
25	30	21	34	30	21	46	38	38	46	25	46	53	50	34	38	61	na	30	44	25	34	42	38	21	42	30	38	38	38	42	55	30	30	38	34
30	21	46	50	34	50	50	42	30	38	46	na	na	59	50	50	70	na	21	47	21	46	34	55	55	50	17	30	68	57	42	57	53	61	53	na
42	42	34	55	46	61	57	68	17	18	na	na	na	80	na	65	95	na	na	51	38	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na
95	57	61	61	59	72	137	40	10	89	93	57	93	147	152	70	157	na	78	50	112	53	13	17	30	13	13	74	109	127	117	65	na	76	87	na
68	34	57	55	57	74	99	68	30	na	132	57	78	117	142	97	152	na	68	na	95	25	21	13	na	13	30	61	na	119	122	53	74	68	85	70
57	63	61	59	68	63	97	97	38	55	61	na	72	68	76	89	na	na	13	43	91	38	21	na	13	13	17	61	112	104	119	61	65	57	87	80
